name,genre,biggest hit
Swedish House Mafia,Progressive House,Don't You Worry Child
Alesso,Progressive House,Heroes (we could be)
Avicii,Progressive House,Wake Me Up
Zedd,Electro House,The Middle
deadmau5,Progressive House,Ghosts 'n' Stuff
Calvin Harris,Progressive House,One Kiss
Sub Focus,Drum and Bass,Tidal Wave
Martin Garrix,Electro House,In the Name of Love
3LAU,Progressive House,How You Love Me
Tiësto,Big Room,Red Lights
Leventina,Electro House,Gravity
Skrillex,Dubstep,Where Are Ü Now
Eric Prydz,Progressive House,Call on Me
Madeon,Nu Disco,Shelter
Daft Punk,French House,Get Lucky
David Guetta,Electropop,Titanium
Hardwell,Big Room,Power
Kendrick Lamar,Hip-Hop,HUMBLE.
Drake,Hip-Hop,One Dance
J. Cole,Hip-Hop,No Role Modelz
Kanye West,Hip-Hop,Stronger
Lil Wayne,Hip-Hop,A Milli
Eminem,Hip-Hop,'Till I Collapse
Future,Hip-Hop,Mask Off
YG,Hip-Hop,BIG BANK
Childish Gambino,Hip-Hop,Redbone
Logic,Hip-Hop,1-800-273-8255
Big Sean,Hip-Hop,Bounce Back
2 Chainz,Hip-Hop,It's A Vibe
French Montana,Hip-Hop,Unforgettable
