title,artist,album,genre,length,release year
Don't You Worry Child,Swedish House Mafia,Until Now,Progressive House,6:43,2012
Calling (Lose My Mind),Sebastian Ingrosso & Alesso,Calling (Lose My Mind),Progressive House,6:15,2012
Under Control,Calvin Harris & Alesso,Under Control,Progressive House,5:37,2013
Clarity,Zedd,Clarity,Progressive House,4:31,2012
Greyhound,Swedish House Mafia,Until Now,Electro House,6:50,2012
Wake Me Up,Avicii,True,Progressive House,4:07,2013
Endorphins (Tommy Trash Remix),Sub Focus,Endorphins,Progressive House,6:15,2013
I Could Be The One (Nicktim),Avicii & Nicky Romero,I Could Be The One,Progressive House,7:36,2012
Levels,Avicii,Levels,Progressive House,5:39,2011
Animals,Martin Garrix,Animals,Big Room,5:04,2013
How You Love Me,3LAU,How You Love Me,Progressive House,4:58,2014
Escape,3LAU & Paris & Simo,Escape,Progressive House,4:35,2013
Latch,Disclosure,Settle,Future Garage,4:16,2013
You & Me (Flume Remix),Disclosure,Settle (The Remixes),Future Bass,4:43,2013
Red Lights,Tiësto,Red Lights,Progressive House,6:00,2014
Hear Me,Leventina,Hear Me,Electro House,7:09,2013
Hold On,NERVO,Hold On,Progressive House,4:20,2013
This Is What It Feels Like,Armin van Buuren,Intense,Progressive House,5:17,2013
Blue,Gemini,Blue,Dubstep,5:16,2011
Silhouettes,Avicii,Silhouettes,Progressive House,7:00,2012
Summit,Skrillex,Bangarang,Melodic Dubstep,6:14,2011
Thinking About You,Calvin Harris,18 Months,Progressive House,4:08,2012
Spectrum,Zedd,Clarity,Progressive House,4:03,2012
I Remember,deadmau5 & Kaskade,Random Album Title,Progressive House,9:54,2008
Swimming Pools (Drank),Kendrick Lamar,Swimming Pools (Drank),Hip-Hop,4:08,2012
A.D.H.D,Kendrick Lamar,Section.80,Hip-Hop,3:36,2011
3005,Childish Gambino,Because the Internet,Hip-Hop,3:54,2013
Recognize,PARTYNEXTDOOR & Drake,PARTYNEXTDOOR TWO,Hip-Hop,5:11,2014
Started From The Bottom,Drake,Nothing Was The Same,Hip-Hop,2:54,2013
Tuesday,ILOVEMAKONNEN & Drake,Tuesday,Hip-Hop,5:22,2014
Headlines,Drake,Take Care,Hip-Hop,3:56,2011
0 To 100 / The Catch Up,Drake,0 To 100 / The Catch Up,Hip-Hop,4:35,2013
Paris Morton Music,Drake,Care Package,Hip-Hop,4:11,2019
Laugh Now Cry Later,Drake & Lil Durk,Laugh Now Cry Later,Hip-Hop,4:21,2020
Deja Vu,J. Cole,4 Your Eyez Only,Hip-Hop,4:25,2016
No Role Modelz,J. Cole,2014 Forest Hills Drive,Hip-Hop,4:53,2014
Stronger,Kanye West,Graduation,Hip-Hop,5:12,2007
Good Life,Kanye West,Graduation,Hip-Hop,3:27,2007
Flashing Lights,Kanye West,Graduation,Hip-Hop,3:58,2007
Runaway,Kanye West & Pusha T,My Beautiful Dark Twisted Fantasy,Hip-Hop,9:08,2010
